measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
44,Population,68,Republic of Korea,1,Male,1,<5 years,1,Number,1980,2044800.951647404,2176487.749512238,1901381.1258316159
44,Population,68,Republic of Korea,2,Female,1,<5 years,1,Number,1980,1901986.1860755724,2024475.6001310828,1768583.212406558
44,Population,68,Republic of Korea,3,Both,1,<5 years,1,Number,1980,3946787.1377229765,4200963.349643322,3669964.3382381736
44,Population,68,Republic of Korea,1,Male,1,<5 years,1,Number,1981,2073984.3006330212,2234447.4607897536,1917442.1985919455
44,Population,68,Republic of Korea,2,Female,1,<5 years,1,Number,1981,1928387.4579059668,2077585.8609062952,1782834.8487959995
44,Population,68,Republic of Korea,3,Both,1,<5 years,1,Number,1981,4002371.758538988,4312033.3216960495,3700277.047387945
44,Population,68,Republic of Korea,1,Male,1,<5 years,1,Number,1982,2098477.387751302,2261819.7310300665,1932727.8231872823
44,Population,68,Republic of Korea,2,Female,1,<5 years,1,Number,1982,1949280.7950819742,2101009.8985907687,1795315.6178140573
44,Population,68,Republic of Korea,3,Both,1,<5 years,1,Number,1982,4047758.1828332767,4362829.629620835,3728043.44100134
44,Population,68,Republic of Korea,1,Male,1,<5 years,1,Number,1983,2106351.9691272997,2270758.3385856305,1944497.2470399898
44,Population,68,Republic of Korea,2,Female,1,<5 years,1,Number,1983,1953758.5014810031,2106254.5452262103,1803629.2524676272
44,Population,68,Republic of Korea,3,Both,1,<5 years,1,Number,1983,4060110.470608303,4377012.88381184,3748126.499507617
44,Population,68,Republic of Korea,1,Male,1,<5 years,1,Number,1984,2071759.3303756225,2224215.3777539646,1921029.0151767796
44,Population,68,Republic of Korea,2,Female,1,<5 years,1,Number,1984,1918543.1931678688,2059724.4142037916,1778960.0784745435
44,Population,68,Republic of Korea,3,Both,1,<5 years,1,Number,1984,3990302.523543491,4283939.791957756,3699989.093651323
44,Population,68,Republic of Korea,1,Male,1,<5 years,1,Number,1985,1998370.2022665886,2137181.573516665,1865671.3400751124
44,Population,68,Republic of Korea,2,Female,1,<5 years,1,Number,1985,1846078.5207670934,1974311.3630164135,1723492.3658374092
44,Population,68,Republic of Korea,3,Both,1,<5 years,1,Number,1985,3844448.723033682,4111492.9365330786,3589163.705912522
44,Population,68,Republic of Korea,1,Male,1,<5 years,1,Number,1986,1907576.0734417655,2047042.1658369848,1770215.9190964862
44,Population,68,Republic of Korea,2,Female,1,<5 years,1,Number,1986,1754039.668912748,1882280.4567561867,1627735.3170161091
44,Population,68,Republic of Korea,3,Both,1,<5 years,1,Number,1986,3661615.7423545136,3929322.622593171,3397951.2361125955
44,Population,68,Republic of Korea,1,Male,1,<5 years,1,Number,1987,1825755.7490643067,1963474.9318141374,1687857.4595713618
44,Population,68,Republic of Korea,2,Female,1,<5 years,1,Number,1987,1669660.0327216417,1795604.7081221303,1543551.5635767148
44,Population,68,Republic of Korea,3,Both,1,<5 years,1,Number,1987,3495415.7817859487,3759079.639936268,3231409.0231480766
44,Population,68,Republic of Korea,1,Male,1,<5 years,1,Number,1988,1768482.6137263777,1915270.395492532,1624523.5436991635
44,Population,68,Republic of Korea,2,Female,1,<5 years,1,Number,1988,1606965.0666352455,1740346.5518001225,1476153.9437192113
44,Population,68,Republic of Korea,3,Both,1,<5 years,1,Number,1988,3375447.680361623,3655616.947292655,3100677.4874183745
44,Population,68,Republic of Korea,1,Male,1,<5 years,1,Number,1989,1743773.5773640987,1874436.078508077,1617885.8538998035
44,Population,68,Republic of Korea,2,Female,1,<5 years,1,Number,1989,1575244.7632650859,1693279.250857963,1461523.5899885348
44,Population,68,Republic of Korea,3,Both,1,<5 years,1,Number,1989,3319018.3406291846,3567715.32936604,3079409.4438883383
44,Population,68,Republic of Korea,1,Male,1,<5 years,1,Number,1990,1748048.9086355271,1859813.291220425,1623475.5288653742
44,Population,68,Republic of Korea,2,Female,1,<5 years,1,Number,1990,1571044.125592986,1671491.4161940184,1459084.8574476065
44,Population,68,Republic of Korea,3,Both,1,<5 years,1,Number,1990,3319093.034228513,3531304.707414443,3082560.3863129807
44,Population,68,Republic of Korea,1,Male,1,<5 years,1,Number,1991,1762682.6798452805,1890030.3428724506,1636953.6330041909
44,Population,68,Republic of Korea,2,Female,1,<5 years,1,Number,1991,1578831.8354450192,1692896.9175246074,1466216.545090947
44,Population,68,Republic of Korea,3,Both,1,<5 years,1,Number,1991,3341514.5152902994,3582927.260397058,3103170.178095138
44,Population,68,Republic of Korea,1,Male,1,<5 years,1,Number,1992,1794149.464585881,1937337.221212384,1642913.7803451505
44,Population,68,Republic of Korea,2,Female,1,<5 years,1,Number,1992,1598479.3232707558,1726051.0071414863,1463737.4196717085
